"filename", "language", "Python", "pip requirements", "JSON", "Docker", "comment", "blank", "total"
"/Users/axisrow/Projects/termux-telegram-rpg/.claude/settings.local.json", "JSON", 0, 0, 10, 0, 0, 1, 11
"/Users/axisrow/Projects/termux-telegram-rpg/Dockerfile", "Docker", 0, 0, 0, 7, 3, 6, 16
"/Users/axisrow/Projects/termux-telegram-rpg/bot.py", "Python", 31, 0, 0, 0, 8, 12, 51
"/Users/axisrow/Projects/termux-telegram-rpg/config.py", "Python", 7, 0, 0, 0, 4, 5, 16
"/Users/axisrow/Projects/termux-telegram-rpg/data/__init__.py", "Python", 9, 0, 0, 0, 1, 2, 12
"/Users/axisrow/Projects/termux-telegram-rpg/data/items.py", "Python", 27, 0, 0, 0, 2, 3, 32
"/Users/axisrow/Projects/termux-telegram-rpg/data/locations.py", "Python", 31, 0, 0, 0, 1, 2, 34
"/Users/axisrow/Projects/termux-telegram-rpg/data/monsters.py", "Python", 53, 0, 0, 0, 1, 2, 56
"/Users/axisrow/Projects/termux-telegram-rpg/game_logic/__init__.py", "Python", 33, 0, 0, 0, 1, 2, 36
"/Users/axisrow/Projects/termux-telegram-rpg/game_logic/achievements.py", "Python", 63, 0, 0, 0, 17, 19, 99
"/Users/axisrow/Projects/termux-telegram-rpg/game_logic/battle.py", "Python", 78, 0, 0, 0, 10, 22, 110
"/Users/axisrow/Projects/termux-telegram-rpg/game_logic/experience.py", "Python", 26, 0, 0, 0, 14, 12, 52
"/Users/axisrow/Projects/termux-telegram-rpg/game_logic/quests.py", "Python", 60, 0, 0, 0, 20, 29, 109
"/Users/axisrow/Projects/termux-telegram-rpg/game_logic/trading.py", "Python", 58, 0, 0, 0, 26, 25, 109
"/Users/axisrow/Projects/termux-telegram-rpg/handlers/__init__.py", "Python", 16, 0, 0, 0, 1, 2, 19
"/Users/axisrow/Projects/termux-telegram-rpg/handlers/battle_handlers.py", "Python", 42, 0, 0, 0, 12, 16, 70
"/Users/axisrow/Projects/termux-telegram-rpg/handlers/commands.py", "Python", 35, 0, 0, 0, 5, 15, 55
"/Users/axisrow/Projects/termux-telegram-rpg/handlers/map_handlers.py", "Python", 27, 0, 0, 0, 4, 11, 42
"/Users/axisrow/Projects/termux-telegram-rpg/handlers/profile.py", "Python", 10, 0, 0, 0, 2, 5, 17
"/Users/axisrow/Projects/termux-telegram-rpg/handlers/quest_handlers.py", "Python", 28, 0, 0, 0, 5, 9, 42
"/Users/axisrow/Projects/termux-telegram-rpg/handlers/rest_handlers.py", "Python", 23, 0, 0, 0, 3, 7, 33
"/Users/axisrow/Projects/termux-telegram-rpg/handlers/shop_handlers.py", "Python", 26, 0, 0, 0, 5, 11, 42
"/Users/axisrow/Projects/termux-telegram-rpg/keyboards/__init__.py", "Python", 10, 0, 0, 0, 1, 2, 13
"/Users/axisrow/Projects/termux-telegram-rpg/keyboards/main_keyboard.py", "Python", 21, 0, 0, 0, 1, 3, 25
"/Users/axisrow/Projects/termux-telegram-rpg/keyboards/map_keyboard.py", "Python", 17, 0, 0, 0, 1, 3, 21
"/Users/axisrow/Projects/termux-telegram-rpg/keyboards/quest_keyboard.py", "Python", 13, 0, 0, 0, 1, 3, 17
"/Users/axisrow/Projects/termux-telegram-rpg/keyboards/shop_keyboard.py", "Python", 13, 0, 0, 0, 1, 3, 17
"/Users/axisrow/Projects/termux-telegram-rpg/models/__init__.py", "Python", 15, 0, 0, 0, 1, 2, 18
"/Users/axisrow/Projects/termux-telegram-rpg/models/item.py", "Python", 28, 0, 0, 0, 6, 9, 43
"/Users/axisrow/Projects/termux-telegram-rpg/models/location.py", "Python", 15, 0, 0, 0, 4, 5, 24
"/Users/axisrow/Projects/termux-telegram-rpg/models/monster.py", "Python", 34, 0, 0, 0, 5, 7, 46
"/Users/axisrow/Projects/termux-telegram-rpg/models/player.py", "Python", 86, 0, 0, 0, 10, 15, 111
"/Users/axisrow/Projects/termux-telegram-rpg/requirements.txt", "pip requirements", 0, 2, 0, 0, 0, 1, 3
"/Users/axisrow/Projects/termux-telegram-rpg/services/__init__.py", "Python", 7, 0, 0, 0, 1, 2, 10
"/Users/axisrow/Projects/termux-telegram-rpg/services/data_repository.py", "Python", 52, 0, 0, 0, 10, 12, 74
"/Users/axisrow/Projects/termux-telegram-rpg/services/player_service.py", "Python", 54, 0, 0, 0, 19, 20, 93
"/Users/axisrow/Projects/termux-telegram-rpg/utils/__init__.py", "Python", 7, 0, 0, 0, 1, 2, 10
"/Users/axisrow/Projects/termux-telegram-rpg/utils/formatters.py", "Python", 48, 0, 0, 0, 7, 20, 75
"Total", "-", 1103, 2, 10, 7, 214, 327, 1663